phase,control,rounds,job_id,byte_index,trials,nonzero,nonzero_probability,ideal_probability,exact_p,ci_lower,ci_upper,within_job_bh_q,global_bh_q
calibration,hespn,4,bit_a019_d019_off+000,9,159998,57880,0.36175452193152413,0.99609375,0.0,0.3593994572356689,0.3641145970085274,0.0,0.0
calibration,hespn,4,bit_a019_d019_off+000,10,159998,0,0.0,0.99609375,0.0,0.0,2.305551900295849e-05,0.0,0.0
calibration,hespn,4,bit_a019_d019_off+000,11,159998,0,0.0,0.99609375,0.0,0.0,2.305551900295849e-05,0.0,0.0
calibration,hespn,4,bit_a019_d019_off+000,12,159998,0,0.0,0.99609375,0.0,0.0,2.305551900295849e-05,0.0,0.0
calibration,hespn,4,bit_a019_d019_off+000,13,159998,0,0.0,0.99609375,0.0,0.0,2.305551900295849e-05,0.0,0.0
calibration,hespn,4,bit_a019_d019_off+000,14,159998,0,0.0,0.99609375,0.0,0.0,2.305551900295849e-05,0.0,0.0
calibration,hespn,4,bit_a019_d019_off+000,15,159998,0,0.0,0.99609375,0.0,0.0,2.305551900295849e-05,0.0,0.0
calibration,hespn,4,bit_a044_d044_off+000,0,160000,0,0.0,0.99609375,0.0,0.0,2.3055230812293166e-05,0.0,0.0
calibration,hespn,4,bit_a044_d044_off+000,1,160000,0,0.0,0.99609375,0.0,0.0,2.3055230812293166e-05,0.0,0.0
calibration,hespn,4,bit_a044_d044_off+000,2,160000,0,0.0,0.99609375,0.0,0.0,2.3055230812293166e-05,0.0,0.0
calibration,hespn,4,bit_a044_d044_off+000,3,160000,0,0.0,0.99609375,0.0,0.0,2.3055230812293166e-05,0.0,0.0
calibration,hespn,4,bit_a044_d044_off+000,4,160000,0,0.0,0.99609375,0.0,0.0,2.3055230812293166e-05,0.0,0.0
calibration,hespn,4,bit_a044_d044_off+000,5,160000,160000,1.0,0.99609375,2.6689658737306474e-272,0.9999769447691877,1.0,2.6689658737306474e-272,1.2590698962070866e-271
calibration,hespn,4,bit_a044_d044_off+000,6,160000,0,0.0,0.99609375,0.0,0.0,2.3055230812293166e-05,0.0,0.0
calibration,hespn,4,bit_a044_d044_off+000,7,160000,0,0.0,0.99609375,0.0,0.0,2.3055230812293166e-05,0.0,0.0
calibration,hespn,4,bit_a044_d044_off+000,8,160000,0,0.0,0.99609375,0.0,0.0,2.3055230812293166e-05,0.0,0.0
calibration,hespn,4,bit_a044_d044_off+000,9,160000,0,0.0,0.99609375,0.0,0.0,2.3055230812293166e-05,0.0,0.0
calibration,hespn,4,bit_a044_d044_off+000,10,160000,0,0.0,0.99609375,0.0,0.0,2.3055230812293166e-05,0.0,0.0
calibration,hespn,4,bit_a044_d044_off+000,11,160000,0,0.0,0.99609375,0.0,0.0,2.3055230812293166e-05,0.0,0.0
calibration,hespn,4,bit_a044_d044_off+000,12,160000,0,0.0,0.99609375,0.0,0.0,2.3055230812293166e-05,0.0,0.0
